"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"10";"Elettrico";"Via Polesine 6";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"1";"REALE"
"12";"Elettrico";"POT Bollate";"5 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"5";"REALE"
"15";"Elettrico";"via Clericetti 22";"9 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"9";"REALE"
"16";"Elettrico";"via Don Bosco 14";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"4";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"3 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"3";"REALE"
"19";"Elettrico";"via Quarenghi 21";"4 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"4";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"1 n.ro locali gruppo 1 e 2 x Verifiche locali uso medico";"Periodica";"Normativa vigente";"45.2";"C5";"1";"REALE"
"02";"Elettrico";"Via Don Orione 2";"2967 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"2967";"REALE"
"03";"Elettrico";"Via Farini 9";"5958 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"5958";"REALE"
"08";"Elettrico";"Via Livigno 3";"446 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"446";"REALE"
"09";"Elettrico";"Via Calvairate 1";"106 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"106";"REALE"
"10";"Elettrico";"Via Polesine 6";"82 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"82";"REALE"
"12";"Elettrico";"POT Bollate";"1831 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"1831";"REALE"
"15";"Elettrico";"via Clericetti 22";"564 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"564";"REALE"
"16";"Elettrico";"via Don Bosco 14";"311 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"311";"REALE"
"18";"Elettrico";"via Monte Palombino 4";"109 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"109";"REALE"
"19";"Elettrico";"via Quarenghi 21";"641 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"641";"REALE"
"20";"Elettrico";"via Aldini 72";"5508 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"5508";"REALE"
"21";"Elettrico";"via Perini 22";"184 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"184";"REALE"
"22";"Elettrico";"via Cilea 146A";"405 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"405";"REALE"
"24";"Elettrico";"via Statuto 5";"638 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"638";"REALE"
"26";"Elettrico";"via Padova 118";"275 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"275";"REALE"
"27";"Elettrico";"L.go Volontari del Sangue 1";"677 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"677";"REALE"
"29";"Elettrico";"via Serlio 8";"437 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"437";"REALE"
"31";"Elettrico";"viale Puglie 33";"370 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"370";"REALE"
"32";"Elettrico";"via Natta 19";"395 m2 superficie lorda x Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"45.1";"C5";"395";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"49.1";"D2.01- D2.02";"1";"REALE"
"02";"Idrico";"Via Don Orione 2";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"1";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"50.1";"D2.02";"1";"REALE"
"02";"Idrico";"Via Don Orione 2";"2967 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"2967";"REALE"
"03";"Idrico";"Via Farini 9";"5958 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"5958";"REALE"
"08";"Idrico";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"446";"REALE"
"09";"Idrico";"Via Calvairate 1";"106 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"106";"REALE"
"10";"Idrico";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"82";"REALE"
"12";"Idrico";"POT Bollate";"1831 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"1831";"REALE"
"14";"Idrico";"viale Piceno 60";"1095 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"1095";"REALE"
"15";"Idrico";"via Clericetti 22";"564 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"564";"REALE"
"16";"Idrico";"via Don Bosco 14";"311 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"311";"REALE"
"18";"Idrico";"via Monte Palombino 4";"109 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"109";"REALE"
"19";"Idrico";"via Quarenghi 21";"590 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"590";"REALE"
"20";"Idrico";"via Aldini 72";"5508 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"5508";"REALE"
"21";"Idrico";"via Perini 22";"184 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"184";"REALE"
"22";"Idrico";"via Cilea 146A";"405 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"405";"REALE"
"24";"Idrico";"via Statuto 5";"638 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"638";"REALE"
"26";"Idrico";"via Padova 118";"275 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"275";"REALE"
"27";"Idrico";"L.go Volontari del Sangue 1";"644 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"644";"REALE"
"29";"Idrico";"via Serlio 8";"437 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"437";"REALE"
"31";"Idrico";"viale Puglie 33";"370 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"370";"REALE"
"32";"Idrico";"via Natta 19";"395 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"51.1";"D2.03 - D2.04";"395";"REALE"
"02";"Idrico";"Via Don Orione 2";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"03";"Idrico";"Via Farini 9";"1 n.ro impianti produttori biossido di cloro x Apparecchiature controllo legionellosi";"Periodica";"Normativa vigente";"52.1";"D3.01";"1";"REALE"
"02";"Idrico";"Via Don Orione 2";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"03";"Idrico";"Via Farini 9";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"08";"Idrico";"Via Livigno 3";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"09";"Idrico";"Via Calvairate 1";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"10";"Idrico";"Via Polesine 6";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"3";"REALE"
"12";"Idrico";"POT Bollate";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"14";"Idrico";"viale Piceno 60";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"15";"Idrico";"via Clericetti 22";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"16";"Idrico";"via Don Bosco 14";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"18";"Idrico";"via Monte Palombino 4";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"19";"Idrico";"via Quarenghi 21";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"20";"Idrico";"via Aldini 72";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"21";"Idrico";"via Perini 22";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"22";"Idrico";"via Cilea 146A";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"24";"Idrico";"via Statuto 5";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"26";"Idrico";"via Padova 118";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"27";"Idrico";"L.go Volontari del Sangue 1";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"29";"Idrico";"via Serlio 8";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"31";"Idrico";"viale Puglie 33";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"32";"Idrico";"via Natta 19";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"53.1";"D3.01.06/07";"2";"REALE"
"02";"Antincendio";"Via Don Orione 2";"2967 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"2967";"REALE"
"03";"Antincendio";"Via Farini 9";"5958 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"5958";"REALE"
"08";"Antincendio";"Via Livigno 3";"446 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"446";"REALE"
"12";"Antincendio";"POT Bollate";"1831 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"1831";"REALE"
"15";"Antincendio";"via Clericetti 22";"564 m2 superficie lorda servita x compartimentazioni, serrande tagliafuoco";"Periodica";"Normativa vigente";"61.1";"E1.03 - E1.06 - E3.04";"564";"REALE"
