"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_G";"FREQ_St";"FREQ_Q";"FREQ_M";"FREQ_T";"FREQ_S";"FREQ_A";"FREQ_B";"FREQ_N";"FREQ_DESCRIZIONE";"PRIORITA";"FLAG_SANITARIO";"NORMATIVA";"RESPONSABILE";"NOTE";"FONTE";"DATA_ULTIMO_INTERVENTO_ANTINCENDIO"
"01";"MECCANICI";"Via A. Doria 52";"1 x Gruppi Frigo / Chiller";"";"";"";"X";"";"";"";"";"";"Mensile / Trimestrale";"";"";"Reg. (UE) 517";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"1 x UTA (Trattamento Aria)";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"Linee Guida";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"1 x Addolcitori";"";"X";"";"";"";"";"";"";"";"Settimanale/Mensile";"";"";"DM 25/12";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"1 x Produttori Biossido Cloro";"";"X";"";"";"";"";"";"";"";"Settimanale";"";"";"Linee Guida";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"1 x Pompe Sollevamento";"";"";"";"X";"";"";"";"";"";"Mensile";"";"";"D.Lgs 81/08";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"4075 m2 x Distribuzione impianti idronici e sottocentrali";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Norme Tecniche";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"4 x Condizionatori tipo split/VRV/carrellabili";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Linee Guida";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";" ripresa x Canali di distribuzione";"";"";"";"";"";"";"";"";"";" serrande";"";"";"Annuale";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"4075 m2 x Distribuzione idrico sanitaria";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"D.Lgs 31/01";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"1 x Centrali idriche (Vasche)";"";"";"";"X";"";"";"";"";"";"Mensile";"";"";"D.Lgs 31/01";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"MECCANICI";"Via A. Doria 52";"3 x Prove della legionella della rete idrico-sanitaria";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Linee Guida";"";"CodC: 1.2 | CodD: B.01 | REALE";"REALE";""
"01";"EDILE";"Via A. Doria 52";"1 x Cancelli e sbarre motorizzati";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"D.Lgs 81/08";"";"CodC: 81.1 | CodD: G1.01 | REALE";"REALE";""
"01";"EDILE";"Via A. Doria 52";"2 x Porte automatiche e portoni sezionali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"D.Lgs 81/08";"";"CodC: 81.1 | CodD: G1.01 | REALE";"REALE";""
"02";"ANTINCENDIO";"Via Don Orione 2";"35 x Estintori";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994-1";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"02";"ANTINCENDIO";"Via Don Orione 2";"36 x Porte Tagliafuoco / REI";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"DM 10/03/98";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"02";"ANTINCENDIO";"Via Don Orione 2";"22 x Idranti / Naspi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 10779";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"02";"ANTINCENDIO";"Via Don Orione 2";"2882 m2 x Rilevazione Fumi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"02";"ANTINCENDIO";"Via Don Orione 2";"1133 m2 x Illum. Emergenza";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI EN 1838";"";"CodC: 45.1 | CodD: C4 | REALE";"REALE";""
"02";"ELETTRICI";"Via Don Orione 2";"2967 m2 x Quadri e Distribuzione";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8";"";"CodC: 45.2 | CodD: C5 | REALE";"REALE";""
"02";"ELETTRICI";"Via Don Orione 2";"23 x Locali Uso Medico (G1/G2)";"";"";"";"";"";"X";"";"";"";"Annuale/Semestrale";"";"";"CEI 64-8/7-710";"";"CodC: 45.2 | CodD: C5 | REALE";"REALE";""
"02";"ELETTRICI";"Via Don Orione 2";"2967 m2 x Impianto Terra / Scariche";"";"";"";"";"";"";"";"X";"";"Biennale";"";"";"DPR 462/01";"";"CodC: 45.2 | CodD: C5 | REALE";"REALE";""
"02";"ELEVATORI";"Via Don Orione 2";"2 x Elevatori (1-5 piani)";"";"";"";"X";"";"";"";"";"";"Mensile / Semestrale";"";"";"DPR 162/99";"";"CodC: 72.1 | CodD: F1.01 | REALE";"REALE";""
