"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"COLONNA_C";"COLONNA_D";"QUANTITA";"NOTE"
"15";"HVAC";"via Clericetti 22";"ND n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"ND";"REALE"
"16";"HVAC";"via Don Bosco 14";"ND n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"ND";"REALE"
"17";"HVAC";"via Fantoli 7";"ND n.ro ventilconvettori x Ventilconvettori";"Periodica";"Normativa vigente";"15.1";"B.07.05";"ND";"REALE"
"XX";"HVAC";"Via A. Doria 52";"4 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"4";"REALE"
"02";"HVAC";"Via Don Orione 2";"- n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"-";"REALE"
"03";"HVAC";"Via Farini 9";"11 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"11";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"5 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"5";"REALE"
"XX";"HVAC";"Via A. Sassi 4";"6 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"6";"REALE"
"XX";"HVAC";"V.le Jenner 44";"- n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"-";"REALE"
"08";"HVAC";"Via Livigno 3";"- n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"-";"REALE"
"09";"HVAC";"Via Calvairate 1";"4 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"4";"REALE"
"10";"HVAC";"Via Polesine 6";"2 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"2";"REALE"
"11b";"HVAC";"Via Adriano 99 e 107";"- n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"-";"REALE"
"12";"HVAC";"POT Bollate";"26 n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"26";"REALE"
"XX";"HVAC";"Legnano";"- n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"-";"REALE"
"14";"HVAC";"viale Piceno 60";"- n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"-";"REALE"
"15";"HVAC";"via Clericetti 22";"ND n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"ND";"REALE"
"16";"HVAC";"via Don Bosco 14";"ND n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"ND";"REALE"
"17";"HVAC";"via Fantoli 7";"- n.ro unità interna x Condizionatori tipo split/VRV /carrellabili";"Periodica";"Normativa vigente";"17.1";"B.07.07/09";"-";"REALE"
"XX";"HVAC";"Via A. Doria 52";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"1";"REALE"
"02";"HVAC";"Via Don Orione 2";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"2";"REALE"
"03";"HVAC";"Via Farini 9";"1 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"1";"REALE"
"04";"HVAC";"Via Rugabella 4/6";"3 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"3";"REALE"
"XX";"HVAC";"Via A. Sassi 4";"- n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"-";"REALE"
"05";"HVAC";"Via Sassi 4 P.ssa Jolanda";"2 n.ro U.T.A. x Unità di Trattamento Aria con filtro assoluto";"Periodica";"Normativa vigente";"20.1";"B.08 - B.13 - B.15";"2";"REALE"
