"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"LAST_DATE";"NEXT_DUE";"NOTE"
"03";"Idrico";"Via Farini 9";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"1 n.ro vasche x Centrali idriche";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"01";"Idrico";"Via A. Doria 52";"1 n.ro addolcitori x Impianti addolcimento";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"01";"Idrico";"Via A. Doria 52";"4075 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"02";"Idrico";"Via Don Orione 2";"2967 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"03";"Idrico";"Via Farini 9";"5958 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"04";"Idrico";"Via Rugabella 4/6";"4088 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"05";"Idrico";"Via A. Sassi 4";"523 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"06";"Idrico";"Via Sassi 4 P.ssa Jolanda";"4650 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"07";"Idrico";"V.le Jenner 44";"295 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"08";"Idrico";"Via Livigno 3";"446 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"09";"Idrico";"Via Calvairate 1";"6 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
"10";"Idrico";"Via Polesine 6";"82 m2 superficie lorda x Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"DA VERIFICARE";"2026-06-15";"REALE"
