"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_G";"FREQ_St";"FREQ_Q";"FREQ_M";"FREQ_T";"FREQ_S";"FREQ_A";"FREQ_B";"FREQ_N";"FREQ_DESCRIZIONE";"PRIORITA";"FLAG_SANITARIO";"NORMATIVA";"RESPONSABILE";"NOTE";"FONTE";"DATA_ULTIMO_INTERVENTO_ANTINCENDIO"
"10";"HVAC";"Via Polesine 6";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"10";"Elettrico";"Via Polesine 6";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"10";"Antincendio";"Via Polesine 6";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";"2026-02-02"
"10";"Antincendio";"Via Polesine 6";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";"2026-02-02"
"10";"Idrico";"Via Polesine 6";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"10";"Idrico";"Via Polesine 6";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"10";"Elevatori";"Via Polesine 6";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"10";"Sedi";"Via Polesine 6";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"11a";"HVAC";"Via Adriano 107";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"11a";"HVAC";"Via Adriano 107";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"11a";"Elettrico";"Via Adriano 107";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"11a";"Antincendio";"Via Adriano 107";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";""
"11a";"Antincendio";"Via Adriano 107";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";""
"11a";"Idrico";"Via Adriano 107";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"11a";"Idrico";"Via Adriano 107";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"11a";"Elevatori";"Via Adriano 107";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"11a";"Sedi";"Via Adriano 107";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"11b";"HVAC";"Via Adriano 99";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"11b";"HVAC";"Via Adriano 99";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"11b";"Elettrico";"Via Adriano 99";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"11b";"Antincendio";"Via Adriano 99";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";""
"11b";"Antincendio";"Via Adriano 99";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";""
"11b";"Idrico";"Via Adriano 99";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"11b";"Idrico";"Via Adriano 99";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"11b";"Elevatori";"Via Adriano 99";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"11b";"Sedi";"Via Adriano 99";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"12";"HVAC";"POT Bollate";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Bollate";""
"12";"HVAC";"POT Bollate";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Bollate";""
"12";"Elettrico";"POT Bollate";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Bollate";""
"12";"Antincendio";"POT Bollate";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Bollate";"2026-02-24"
"12";"Antincendio";"POT Bollate";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Bollate";"2026-02-24"
"12";"Idrico";"POT Bollate";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Bollate";""
"12";"Idrico";"POT Bollate";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Bollate";""
"12";"Elevatori";"POT Bollate";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Bollate";""
"12";"Sedi";"POT Bollate";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Bollate";""
"14";"HVAC";"Viale Piceno 60";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"14";"HVAC";"Viale Piceno 60";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"14";"Elettrico";"Viale Piceno 60";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
"14";"Antincendio";"Viale Piceno 60";"Controllo Rivelazione e Centrali";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 11224";"";"DA VERIFICARE";"Milano";""
"14";"Antincendio";"Viale Piceno 60";"Controllo Estintori e Idranti";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"UNI 9994; UNI 10779";"";"DA VERIFICARE";"Milano";""
"14";"Idrico";"Viale Piceno 60";"Prevenzione Legionella (Campionamento)";"";"";"";"X";"X";"";"";"";"";"Mensile/Trimestrale";"";"";"Linee Guida Ministero Salute";"";"DA VERIFICARE";"Milano";""
"14";"Idrico";"Viale Piceno 60";"Manutenzione Autoclavi";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Prassi Tecnica";"";"DA VERIFICARE";"Milano";""
"14";"Elevatori";"Viale Piceno 60";"Manutenzione Periodica";"";"";"";"X";"";"";"";"";"";"Mensile/Bimensile";"";"";"DPR 162/99";"";"DA VERIFICARE";"Milano";""
"14";"Sedi";"Viale Piceno 60";"Verifica Integrità Edile";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"Building Management";"";"DA VERIFICARE";"Milano";""
"15";"HVAC";"Via Clericetti 22";"Manutenzione Ordinaria UTA/Chiller";"";"";"";"";"";"X";"";"";"";"Semestrale";"";"";"Manuale Uso e Manutenzione";"";"DA VERIFICARE";"Milano";""
"15";"HVAC";"Via Clericetti 22";"Sostituzione Filtri";"";"";"";"";"X";"";"";"";"";"Trimestrale";"";"";"UNI EN 15780";"";"DA VERIFICARE";"Milano";""
"15";"Elettrico";"Via Clericetti 22";"Manutenzione Quadri e UPS";"";"";"";"";"";"";"X";"";"";"Annuale";"";"";"CEI 64-8; CEI 0-15";"";"DA VERIFICARE";"Milano";""
