"Sito";"Sistema";"Attivita";"Frequenza";"Stato_Attuale";"Azione_Richiesta"
"Via Polesine 6";"Idrico";"3 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"POT Bollate";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"viale Piceno 60";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Clericetti 22";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Don Bosco 14";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Fantoli 7 
Poliamb.";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Monte Palombino 4";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Quarenghi 21";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Aldini 72";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Perini 22";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
"via Cilea 146A";"Idrico";"2 n.ro analisi effettuate annue x Prove della legionella della rete idrico-sanitaria";"Periodica";"DOCUMENTO MANCANTE";"Sollecitare Cliente"
